state,state fips,county,county code,commodity,data item,domain category,value
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,,"2,042,220"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (1.0 TO 9.9 ACRES),"273,325"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (10.0 TO 49.9 ACRES),"583,001"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (50.0 TO 69.9 ACRES),"135,126"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (70.0 TO 99.9 ACRES),"163,251"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (100 TO 139 ACRES),"149,478"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (140 TO 179 ACRES),"116,908"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (180 TO 219 ACRES),"74,086"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (220 TO 259 ACRES),"57,096"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (260 TO 499 ACRES),"183,835"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,AREA OPERATED: (500 TO 999 ACRES),"133,321"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (1,000 TO 1,999 ACRES)","87,666"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (2,000 TO 4,999 ACRES)","59,442"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,"AREA OPERATED: (5,000 OR MORE ACRES)","25,685"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,,"900,217,576"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),"1,302,208"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),"14,787,940"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES),"7,845,508"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),"13,414,191"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (100 TO 139 ACRES),"17,343,842"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (140 TO 179 ACRES),"18,399,918"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (180 TO 219 ACRES),"14,645,228"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (220 TO 259 ACRES),"13,586,644"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (260 TO 499 ACRES),"65,775,717"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,AREA OPERATED: (500 TO 999 ACRES),"92,872,530"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","120,680,141"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,"AREA OPERATED: (2,000 TO 4,999 ACRES)","177,602,657"
US TOTAL,99,,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,"AREA OPERATED: (5,000 OR MORE ACRES)","341,961,052"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",,"320,041,858"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (1.0 TO 9.9 ACRES),"360,990"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (10.0 TO 49.9 ACRES),"4,068,888"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (50.0 TO 69.9 ACRES),"2,183,352"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (70.0 TO 99.9 ACRES),"3,925,972"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (100 TO 139 ACRES),"5,181,887"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (140 TO 179 ACRES),"5,803,430"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (180 TO 219 ACRES),"5,008,450"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (220 TO 259 ACRES),"5,014,346"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (260 TO 499 ACRES),"26,950,862"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (500 TO 999 ACRES),"45,887,053"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED: (1,000 TO 1,999 ACRES)","66,222,703"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED: (2,000 TO 4,999 ACRES)","90,666,864"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES","AREA OPERATED: (5,000 OR MORE ACRES)","58,767,061"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",IRRIGATION STATUS: (ANY ON OPERATION),"92,121,261"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (1.0 TO 9.9 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"162,315"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (10.0 TO 49.9 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"801,236"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (50.0 TO 69.9 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"312,484"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (70.0 TO 99.9 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"533,632"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (100 TO 139 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"652,507"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (140 TO 179 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"804,154"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (180 TO 219 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"645,102"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (220 TO 259 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"684,871"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (260 TO 499 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"4,193,722"
US TOTAL,99,,,AG LAND,"AG LAND, CROPLAND, HARVESTED - ACRES",AREA OPERATED: (500 TO 999 ACRES) AND IRRIGATION STATUS: (ANY ON OPERATION),"9,141,236"
